Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 91.400000 | 75        | 109       | 274       | 0.0217    | (138, 149)| (101, 199)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 78.480000 | 67        | 101       | 248       | 0.0184    | (70, 131) | (77, 193) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 82.170000 | 67        | 70        | 240       | 0.0135    | (128, 253)| (87, 204) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 84.200000 | 76        | 2012      | 2191      | 0.2475    | (80, 77)  | (69, 106) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 80.330000 | 75        | 76        | 227       | 0.0045    | (10, 96)  | (63, 127) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 87.300000 | 75        | 120       | 310       | 0.0076    | (102, 131)| (117, 59) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 77.250000 | 67        | 68        | 256       | 0.005     | (143, 78) | (168, 145)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 79.200000 | 71        | 72        | 258       | 0.0052    | (86, 171) | (106, 100)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 86.200000 | 78        | 1994      | 2175      | 0.1272    | (108, 163)| (78, 157) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 80.380000 | 73        | 1086      | 1250      | 0.0987    | (127, 147)| (136, 161)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 86.220000 | 69        | 214       | 382       | 0.0347    | (130, 99) | (86, 128) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 81.940000 | 68        | 270       | 443       | 0.0408    | (181, 266)| (134, 275)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 78.690000 | 75        | 76        | 206       | 0.013     | (115, 253)| (40, 250) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 80.150000 | 74        | 76        | 198       | 0.0121    | (81, 254) | (155, 249)| ./example/gridmap/arena2.map| Hidden              
